prompt,layer_14,layer_13,layer_2,layer_5,layer_4,layer_3,layer_12,cfg,layer_15,layer_9,layer_0,layer_7,layer_18,layer_16,layer_11,layer_10,layer_17,layer_6,layer_1,layer_8
prompt_64,0.9858545064926147,0.9895368814468384,0.9848099648952484,0.981949508190155,0.988323450088501,0.9858432412147522,0.9829132556915283,0.9895753562450409,0.9887316823005676,0.9924885630607605,0.9955200552940369,0.9905526041984558,0.9643552601337433,0.9705710113048553,0.9817000925540924,0.9886804819107056,0.9806605279445648,0.992154598236084,0.9940263032913208,0.9897451102733612
prompt_80,0.9979512095451355,0.0,0.0,0.0,0.9780800342559814,0.9669854640960693,0.990580141544342,0.0,0.9717492163181305,0.9137023687362671,0.0,0.0,0.5114642381668091,0.9959093332290649,0.0,0.0,0.0,0.0,0.0,0.0
prompt_19,0.0,0.0,0.0,0.9962723851203918,0.0,0.9993672966957092,0.9995949268341064,0.9998635053634644,0.9973563551902771,0.9550983905792236,0.0,0.9979783296585083,0.9906382858753204,0.999710738658905,0.878783106803894,0.0,0.0,0.0,0.0,0.0
prompt_56,0.9700146317481995,0.9836374521255493,0.0,0.0,0.975050151348114,0.995204746723175,0.9900104999542236,0.0,0.0,0.9937741160392761,0.0,0.9232131242752075,0.9899864196777344,0.9498834311962128,0.9973223805427551,0.9785434007644653,0.0,0.993796706199646,0.0,0.0
prompt_21,0.9455743432044983,0.9989915490150452,0.9944030046463013,0.9968098700046539,0.9936798214912415,0.9799112379550934,0.0,0.993903636932373,0.9968743324279785,0.9999269247055054,0.0,0.9730488657951355,0.998920738697052,0.9496567845344543,0.9968675374984741,0.9989503026008606,0.9988061785697937,0.9995573163032532,0.0,0.9998514652252197
prompt_58,0.9769315719604492,0.967475950717926,0.9922254979610443,0.9744519591331482,0.9755122661590576,0.9674531519412994,0.9764769673347473,0.9704080820083618,0.9764337241649628,0.9724981784820557,0.0,0.9737142324447632,0.9913690984249115,0.9768517315387726,0.9720172584056854,0.9673542082309723,0.9871055781841278,0.9671662449836731,0.0,0.9739506244659424
prompt_52,0.959953784942627,0.9432264566421509,0.9928216338157654,0.905916690826416,0.9486497640609741,0.9557373523712158,0.926064133644104,0.9195808172225952,0.9599642157554626,0.9313400983810425,0.9034188985824585,0.91849285364151,0.9887620806694031,0.9144874811172485,0.9363316297531128,0.9233331680297852,0.7238402962684631,0.9917826056480408,0.9796352982521057,0.9358878135681152
prompt_25,0.0,0.9807685613632202,0.0,0.9885363578796387,0.9946903586387634,0.0,0.0,0.9851057529449463,0.9960206151008606,0.9948518872261047,0.0,0.9301687180995941,0.9933780431747437,0.9904327392578125,0.9878273606300354,0.5015274286270142,0.9911879301071167,0.0,0.0,0.9933266639709473
prompt_84,0.0,0.0,0.0,0.9837273955345154,0.0,0.0,0.0,0.0,0.0,0.9948655366897583,0.0,0.9743385910987854,0.9947933554649353,0.9620187878608704,0.0,0.9963250160217285,0.0,0.0,0.0,0.9925987720489502
prompt_17,0.9846013784408569,0.9818331003189087,0.9642806649208069,0.9619154334068298,0.9888960123062134,0.9886707663536072,0.9963728189468384,0.9618571400642395,0.9956945180892944,0.9833218455314636,0.0,0.9616023302078247,0.968902587890625,0.9927437901496887,0.9481542706489563,0.9969896674156189,0.9928843975067139,0.9681410789489746,0.9755141735076904,0.9691904783248901
prompt_60,0.9939848482608795,0.0,0.922677755355835,0.9535337686538696,0.959633469581604,0.8208212852478027,0.9914241433143616,0.0,0.8586965799331665,0.9931950569152832,0.0,0.9389736652374268,0.9145116806030273,0.9374698996543884,0.0,0.9629660248756409,0.5173671841621399,0.908306360244751,0.0,0.8228665590286255
prompt_41,0.9803553223609924,0.9786376953125,0.9837307929992676,0.9547478556632996,0.9837930798530579,0.9875653386116028,0.9778584837913513,0.979912281036377,0.9822946190834045,0.9773191213607788,0.0,0.9827049970626831,0.9829655885696411,0.983147382736206,0.9887694716453552,0.9733033776283264,0.9865122437477112,0.9842329621315002,0.0,0.9838584065437317
